Tags	GO ID	GO Name	GO Category	Size	ES	NES	Nominal p-val	FDR q-val	FWER p-val	Rank at Max	Leading Edge
[TOP, DETAILS]	GO:0097485	neuron projection guidance	BIOLOGICAL_PROCESS	112	0.30670103	3.7476642	0.0	0.0	0.0	2181	tags=62%, list=31%, signal=88%
[TOP, DETAILS]	GO:0007411	axon guidance	BIOLOGICAL_PROCESS	111	0.3122965	3.702007	0.0	0.0	0.0	2181	tags=62%, list=31%, signal=89%
[TOP, DETAILS]	GO:0007409	axonogenesis	BIOLOGICAL_PROCESS	232	0.18467417	3.2432828	0.0	0.0	0.0	1782	tags=44%, list=26%, signal=57%
[TOP, DETAILS]	GO:0061564	axon development	BIOLOGICAL_PROCESS	256	0.17295234	3.154754	0.0	0.0	0.0	1934	tags=45%, list=28%, signal=59%
[TOP, DETAILS]	GO:1902667	regulation of axon guidance	BIOLOGICAL_PROCESS	22	0.55337626	3.0881457	0.0	1.5933231E-4	0.001	2165	tags=86%, list=31%, signal=125%
[BOTTOM, DETAILS]	GO:0006520	cellular amino acid metabolic process	BIOLOGICAL_PROCESS	105	-0.2532481	-3.0415945	0.0	0.0012168043	0.001	3162	tags=70%, list=46%, signal=127%
[TOP, DETAILS]	GO:0048846	axon extension involved in axon guidance	BIOLOGICAL_PROCESS	19	0.5843223	3.03726	0.0	3.8928198E-4	0.003	2165	tags=89%, list=31%, signal=130%
[TOP, DETAILS]	GO:1902284	neuron projection extension involved in neuron projection guidance	BIOLOGICAL_PROCESS	19	0.5843223	3.0318787	0.0	3.3367026E-4	0.003	2165	tags=89%, list=31%, signal=130%
[BOTTOM, DETAILS]	GO:0044282	small molecule catabolic process	BIOLOGICAL_PROCESS	128	-0.23362516	-3.0286424	0.0	6.0840213E-4	0.001	3019	tags=66%, list=43%, signal=115%
[TOP, DETAILS]	GO:0050919	negative chemotaxis	BIOLOGICAL_PROCESS	20	0.54517484	2.981324	0.0	4.9140706E-4	0.005	2126	tags=85%, list=31%, signal=122%
[TOP, DETAILS]	GO:0048841	regulation of axon extension involved in axon guidance	BIOLOGICAL_PROCESS	15	0.622665	2.9437642	0.0	6.971076E-4	0.008	2165	tags=93%, list=31%, signal=135%
[TOP, DETAILS]	GO:0043484	regulation of RNA splicing	BIOLOGICAL_PROCESS	108	0.23355445	2.809783	0.0	0.0014135464	0.018	2131	tags=54%, list=31%, signal=76%
[TOP, DETAILS]	GO:1902600	proton transmembrane transport	BIOLOGICAL_PROCESS	69	0.2843072	2.7853959	0.0	0.0013561709	0.019	862	tags=41%, list=12%, signal=46%
[BOTTOM, DETAILS]	GO:0009126	purine nucleoside monophosphate metabolic process	BIOLOGICAL_PROCESS	22	-0.46962687	-2.6907117	0.0	0.024710836	0.059	2431	tags=82%, list=35%, signal=126%
[BOTTOM, DETAILS]	GO:1901605	alpha-amino acid metabolic process	BIOLOGICAL_PROCESS	70	-0.2702062	-2.673703	0.0	0.020054014	0.064	2111	tags=57%, list=30%, signal=81%
[BOTTOM, DETAILS]	GO:0051590	positive regulation of neurotransmitter transport	BIOLOGICAL_PROCESS	18	-0.5297997	-2.6714942	0.0	0.016524516	0.066	1732	tags=78%, list=25%, signal=103%
[BOTTOM, DETAILS]	GO:0009167	purine ribonucleoside monophosphate metabolic process	BIOLOGICAL_PROCESS	20	-0.5014013	-2.6584127	0.0	0.014766168	0.071	2431	tags=85%, list=35%, signal=130%
[BOTTOM, DETAILS]	GO:0051604	protein maturation	BIOLOGICAL_PROCESS	109	-0.22081855	-2.6328924	0.0	0.014742781	0.081	3014	tags=65%, list=43%, signal=113%
[TOP, DETAILS]	GO:0008045	motor neuron axon guidance	BIOLOGICAL_PROCESS	16	0.5275231	2.6241384	0.0	0.0053086877	0.076	1118	tags=69%, list=16%, signal=82%
[BOTTOM, DETAILS]	GO:0009117	nucleotide metabolic process	BIOLOGICAL_PROCESS	215	-0.1524526	-2.6108983	0.0	0.014412464	0.088	2172	tags=46%, list=31%, signal=65%
[BOTTOM, DETAILS]	GO:0009259	ribonucleotide metabolic process	BIOLOGICAL_PROCESS	170	-0.17328447	-2.5940983	0.0	0.013891495	0.096	1931	tags=45%, list=28%, signal=60%
[BOTTOM, DETAILS]	GO:0006753	nucleoside phosphate metabolic process	BIOLOGICAL_PROCESS	218	-0.15071441	-2.582531	0.0	0.014560482	0.111	2172	tags=46%, list=31%, signal=65%
[BOTTOM, DETAILS]	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	BIOLOGICAL_PROCESS	85	-0.24129227	-2.574647	0.0	0.013786856	0.115	2675	tags=62%, list=39%, signal=100%
[BOTTOM, DETAILS]	GO:0009069	serine family amino acid metabolic process	BIOLOGICAL_PROCESS	15	-0.54297674	-2.574071	0.0	0.012637951	0.115	2719	tags=93%, list=39%, signal=153%
[BOTTOM, DETAILS]	GO:0009161	ribonucleoside monophosphate metabolic process	BIOLOGICAL_PROCESS	26	-0.42076346	-2.5679562	0.0	0.01204085	0.118	2431	tags=77%, list=35%, signal=118%
[BOTTOM, DETAILS]	GO:0019395	fatty acid oxidation	BIOLOGICAL_PROCESS	46	-0.3216168	-2.5612447	0.0	0.011966292	0.125	3216	tags=78%, list=46%, signal=145%
[BOTTOM, DETAILS]	GO:0006635	fatty acid beta-oxidation	BIOLOGICAL_PROCESS	35	-0.35523382	-2.54474	0.0	0.012052727	0.134	3101	tags=80%, list=45%, signal=144%
[TOP, DETAILS]	GO:0043087	regulation of GTPase activity	BIOLOGICAL_PROCESS	177	0.16636224	2.5426362	0.0	0.009866797	0.146	3580	tags=68%, list=52%, signal=136%
