Tags	GO ID	GO Name	GO Category	Size	ES	NES	Nominal p-val	FDR q-val	FWER p-val	Rank at Max	Leading Edge
[BOTTOM, DETAILS]	GO:0002181	cytoplasmic translation	BIOLOGICAL_PROCESS	89	-0.2955686	-3.108729	0.0	5.131265E-4	0.001	604	tags=76%, list=49%, signal=139%
[BOTTOM, DETAILS]	GO:0006605	protein targeting	BIOLOGICAL_PROCESS	18	-0.58798206	-2.9399638	0.0	5.1070034E-4	0.002	382	tags=89%, list=31%, signal=127%
[TOP, DETAILS]	GO:0001709	cell fate determination	BIOLOGICAL_PROCESS	45	0.3373431	2.6939366	0.0	0.034607183	0.023	529	tags=76%, list=43%, signal=128%
[TOP, DETAILS]	GO:0042461	photoreceptor cell development	BIOLOGICAL_PROCESS	41	0.36439842	2.6611764	0.0	0.019477535	0.026	346	tags=63%, list=28%, signal=85%
[TOP, DETAILS]	GO:0042462	eye photoreceptor cell development	BIOLOGICAL_PROCESS	31	0.40575266	2.6591942	0.0	0.012985023	0.026	346	tags=68%, list=28%, signal=92%
[BOTTOM, DETAILS]	GO:0090150	establishment of protein localization to membrane	BIOLOGICAL_PROCESS	15	-0.56403506	-2.6512108	0.0	0.0042080013	0.025	382	tags=87%, list=31%, signal=124%
[TOP, DETAILS]	GO:0048863	stem cell differentiation	BIOLOGICAL_PROCESS	32	0.39553794	2.6176808	0.0	0.011258675	0.03	448	tags=75%, list=36%, signal=115%
[TOP, DETAILS]	GO:0007219	Notch signaling pathway	BIOLOGICAL_PROCESS	35	0.37384138	2.588585	0.0	0.01049835	0.035	396	tags=69%, list=32%, signal=98%
[BOTTOM, DETAILS]	GO:0042254	ribosome biogenesis	BIOLOGICAL_PROCESS	48	-0.32028386	-2.5719538	0.0	0.005776774	0.044	571	tags=77%, list=46%, signal=138%
[BOTTOM, DETAILS]	GO:0046034	ATP metabolic process	BIOLOGICAL_PROCESS	17	-0.512162	-2.5394225	0.0	0.0058520124	0.056	393	tags=82%, list=32%, signal=119%
[TOP, DETAILS]	GO:0007423	sensory organ development	BIOLOGICAL_PROCESS	165	0.17572345	2.4822013	0.0	0.02220377	0.086	319	tags=41%, list=26%, signal=48%
[BOTTOM, DETAILS]	GO:1901137	carbohydrate derivative biosynthetic process	BIOLOGICAL_PROCESS	21	-0.45230225	-2.441125	0.0	0.010176822	0.108	333	tags=71%, list=27%, signal=96%
[TOP, DETAILS]	GO:0032269	negative regulation of cellular protein metabolic process	BIOLOGICAL_PROCESS	64	0.27139568	2.4409094	0.0	0.026289288	0.119	644	tags=78%, list=52%, signal=155%
[TOP, DETAILS]	GO:0045165	cell fate commitment	BIOLOGICAL_PROCESS	106	0.21340881	2.439617	0.002079002	0.023178292	0.119	537	tags=63%, list=44%, signal=102%
[TOP, DETAILS]	GO:2000177	regulation of neural precursor cell proliferation	BIOLOGICAL_PROCESS	27	0.3919343	2.4300308	0.0	0.02326351	0.133	211	tags=56%, list=17%, signal=66%
[TOP, DETAILS]	GO:0051248	negative regulation of protein metabolic process	BIOLOGICAL_PROCESS	64	0.27139568	2.4253917	0.0	0.021532385	0.136	644	tags=78%, list=52%, signal=155%
[TOP, DETAILS]	GO:0042051	compound eye photoreceptor development	BIOLOGICAL_PROCESS	29	0.38229388	2.4222515	0.0	0.019858612	0.138	346	tags=66%, list=28%, signal=89%
[TOP, DETAILS]	GO:1902692	regulation of neuroblast proliferation	BIOLOGICAL_PROCESS	27	0.3919343	2.4004524	0.0	0.020707995	0.156	211	tags=56%, list=17%, signal=66%
[TOP, DETAILS]	GO:0048865	stem cell fate commitment	BIOLOGICAL_PROCESS	15	0.5081141	2.369486	0.0	0.023256755	0.186	448	tags=87%, list=36%, signal=135%
[TOP, DETAILS]	GO:0045595	regulation of cell differentiation	BIOLOGICAL_PROCESS	150	0.17218009	2.3600922	0.0	0.022964627	0.197	215	tags=33%, list=17%, signal=35%
[TOP, DETAILS]	GO:0045944	positive regulation of transcription by RNA polymerase II	BIOLOGICAL_PROCESS	88	0.21647578	2.3090775	0.0019455253	0.02930808	0.262	451	tags=57%, list=37%, signal=83%
[BOTTOM, DETAILS]	GO:0006886	intracellular protein transport	BIOLOGICAL_PROCESS	60	-0.25281805	-2.2576048	0.0	0.03380424	0.369	382	tags=55%, list=31%, signal=76%
[TOP, DETAILS]	GO:0033043	regulation of organelle organization	BIOLOGICAL_PROCESS	97	0.19872178	2.2402284	0.0	0.04465172	0.39	662	tags=72%, list=54%, signal=144%
[TOP, DETAILS]	GO:0050767	regulation of neurogenesis	BIOLOGICAL_PROCESS	99	0.20262697	2.24015	0.0	0.04202515	0.39	267	tags=40%, list=22%, signal=47%
[BOTTOM, DETAILS]	GO:0022613	ribonucleoprotein complex biogenesis	BIOLOGICAL_PROCESS	65	-0.24205042	-2.222816	0.0020283975	0.03646766	0.441	571	tags=69%, list=46%, signal=122%
[TOP, DETAILS]	GO:0061351	neural precursor cell proliferation	BIOLOGICAL_PROCESS	39	0.30188435	2.2207828	0.00203666	0.045841426	0.43	302	tags=54%, list=25%, signal=69%
[TOP, DETAILS]	GO:0022416	chaeta development	BIOLOGICAL_PROCESS	24	0.3905344	2.2154024	0.0020703934	0.044783503	0.437	297	tags=63%, list=24%, signal=81%
[TOP, DETAILS]	GO:0072091	regulation of stem cell proliferation	BIOLOGICAL_PROCESS	29	0.35334787	2.21207	0.0	0.04314049	0.442	211	tags=52%, list=17%, signal=61%
