Tags	GO ID	GO Name	GO Category	Size	ES	NES	Nominal p-val	FDR q-val	FWER p-val	Rank at Max	Leading Edge
[BOTTOM, DETAILS]	GO:0002181	cytoplasmic translation	BIOLOGICAL_PROCESS	109	-0.3349663	-3.9803197	0.0	0.0	0.0	695	tags=78%, list=47%, signal=136%
[BOTTOM, DETAILS]	GO:0043043	peptide biosynthetic process	BIOLOGICAL_PROCESS	169	-0.2314699	-3.3592336	0.0	0.0	0.0	695	tags=67%, list=47%, signal=113%
[BOTTOM, DETAILS]	GO:0006412	translation	BIOLOGICAL_PROCESS	165	-0.2355282	-3.3137605	0.0	0.0	0.0	695	tags=68%, list=47%, signal=114%
[TOP, DETAILS]	GO:0006605	protein targeting	BIOLOGICAL_PROCESS	19	0.55766386	2.911697	0.0	4.823285E-4	0.001	430	tags=84%, list=29%, signal=117%
[BOTTOM, DETAILS]	GO:0000280	nuclear division	BIOLOGICAL_PROCESS	60	-0.31269395	-2.7606256	0.0	0.0044382056	0.012	740	tags=80%, list=50%, signal=154%
[BOTTOM, DETAILS]	GO:0048285	organelle fission	BIOLOGICAL_PROCESS	62	-0.30303445	-2.760502	0.0	0.0035505644	0.012	740	tags=79%, list=50%, signal=152%
[BOTTOM, DETAILS]	GO:0048542	lymph gland development	BIOLOGICAL_PROCESS	16	-0.54591316	-2.651165	0.0	0.007700549	0.031	219	tags=69%, list=15%, signal=80%
[TOP, DETAILS]	GO:0042775	mitochondrial ATP synthesis coupled electron transport	BIOLOGICAL_PROCESS	32	0.3775069	2.5210912	0.0	0.012066284	0.046	654	tags=81%, list=44%, signal=143%
[BOTTOM, DETAILS]	GO:0070925	organelle assembly	BIOLOGICAL_PROCESS	75	-0.24865764	-2.5051346	0.0	0.017029474	0.079	736	tags=73%, list=50%, signal=139%
[BOTTOM, DETAILS]	GO:0098609	cell-cell adhesion	BIOLOGICAL_PROCESS	44	-0.3182452	-2.503229	0.0	0.01490079	0.079	418	tags=59%, list=28%, signal=80%
[TOP, DETAILS]	GO:0022900	electron transport chain	BIOLOGICAL_PROCESS	42	0.32806078	2.4961188	0.0	0.011364858	0.065	654	tags=76%, list=44%, signal=133%
[BOTTOM, DETAILS]	GO:0098813	nuclear chromosome segregation	BIOLOGICAL_PROCESS	37	-0.3416546	-2.4564018	0.0	0.019400585	0.109	747	tags=84%, list=51%, signal=165%
[BOTTOM, DETAILS]	GO:0033043	regulation of organelle organization	BIOLOGICAL_PROCESS	105	-0.2090452	-2.4531283	0.0	0.017915823	0.112	826	tags=75%, list=56%, signal=158%
[BOTTOM, DETAILS]	GO:0042273	ribosomal large subunit biogenesis	BIOLOGICAL_PROCESS	22	-0.42544955	-2.4403753	0.0	0.018187253	0.126	658	tags=86%, list=45%, signal=153%
[BOTTOM, DETAILS]	GO:0007017	microtubule-based process	BIOLOGICAL_PROCESS	104	-0.21733288	-2.4198895	0.0	0.019183882	0.143	953	tags=85%, list=64%, signal=221%
[BOTTOM, DETAILS]	GO:0033044	regulation of chromosome organization	BIOLOGICAL_PROCESS	45	-0.30776146	-2.4024405	0.0	0.020013316	0.16	611	tags=71%, list=41%, signal=118%
[BOTTOM, DETAILS]	GO:0007155	cell adhesion	BIOLOGICAL_PROCESS	67	-0.25165808	-2.3980627	0.0020242915	0.019118533	0.164	418	tags=52%, list=28%, signal=70%
[TOP, DETAILS]	GO:0046034	ATP metabolic process	BIOLOGICAL_PROCESS	62	0.26088935	2.3859718	0.0	0.02167328	0.155	750	tags=76%, list=51%, signal=147%
