Tags	GO ID	GO Name	GO Category	Size	ES	NES	Nominal p-val	FDR q-val	FWER p-val	Rank at Max	Leading Edge
[TOP, DETAILS]	GO:0002181	cytoplasmic translation	BIOLOGICAL_PROCESS	90	0.37380052	3.9966412	0.0	0.0	0.0	190	tags=51%, list=17%, signal=56%
[TOP, DETAILS]	GO:0006412	translation	BIOLOGICAL_PROCESS	133	0.2709142	3.44191	0.0	0.0	0.0	681	tags=83%, list=59%, signal=182%
[TOP, DETAILS]	GO:0043043	peptide biosynthetic process	BIOLOGICAL_PROCESS	137	0.25837532	3.3526182	0.0	0.0	0.0	717	tags=85%, list=63%, signal=201%
[BOTTOM, DETAILS]	GO:0065004	protein-DNA complex assembly	BIOLOGICAL_PROCESS	18	-0.4228723	-2.2091484	0.0	0.20793745	0.458	288	tags=67%, list=25%, signal=88%
[TOP, DETAILS]	GO:0042273	ribosomal large subunit biogenesis	BIOLOGICAL_PROCESS	20	0.40968028	2.2085752	0.0	0.08838501	0.43	168	tags=55%, list=15%, signal=63%
[TOP, DETAILS]	GO:0042255	ribosome assembly	BIOLOGICAL_PROCESS	19	0.42366788	2.203023	0.0	0.073082745	0.441	185	tags=58%, list=16%, signal=68%
[BOTTOM, DETAILS]	GO:0006511	ubiquitin-dependent protein catabolic process	BIOLOGICAL_PROCESS	58	-0.24866886	-2.161451	0.0	0.22289175	0.558	422	tags=60%, list=37%, signal=91%
[BOTTOM, DETAILS]	GO:0030029	actin filament-based process	BIOLOGICAL_PROCESS	90	-0.19709596	-2.158224	0.0	0.18987684	0.565	646	tags=74%, list=56%, signal=157%
[BOTTOM, DETAILS]	GO:0030036	actin cytoskeleton organization	BIOLOGICAL_PROCESS	85	-0.20534456	-2.1295297	0.0	0.19238058	0.618	646	tags=75%, list=56%, signal=160%
[BOTTOM, DETAILS]	GO:0000910	cytokinesis	BIOLOGICAL_PROCESS	24	-0.37032086	-2.1082027	0.0	0.19021392	0.663	636	tags=92%, list=55%, signal=202%
[BOTTOM, DETAILS]	GO:0010498	proteasomal protein catabolic process	BIOLOGICAL_PROCESS	47	-0.2603334	-2.0996957	0.00589391	0.17795238	0.683	422	tags=62%, list=37%, signal=94%
[BOTTOM, DETAILS]	GO:0007391	dorsal closure	BIOLOGICAL_PROCESS	47	-0.26494107	-2.067536	0.009940358	0.19417036	0.75	612	tags=79%, list=53%, signal=162%
[BOTTOM, DETAILS]	GO:0033365	protein localization to organelle	BIOLOGICAL_PROCESS	43	-0.27048853	-2.0609689	0.0018796993	0.18275751	0.76	822	tags=98%, list=72%, signal=333%
[BOTTOM, DETAILS]	GO:0071900	regulation of protein serine/threonine kinase activity	BIOLOGICAL_PROCESS	19	-0.39195818	-2.0454707	0.00407332	0.18444063	0.801	464	tags=79%, list=40%, signal=130%
[BOTTOM, DETAILS]	GO:0061640	cytoskeleton-dependent cytokinesis	BIOLOGICAL_PROCESS	22	-0.36193788	-2.036406	0.007858546	0.18048808	0.823	636	tags=91%, list=55%, signal=200%
[BOTTOM, DETAILS]	GO:1903047	mitotic cell cycle process	BIOLOGICAL_PROCESS	72	-0.20895407	-2.0173817	0.0021141649	0.18845874	0.862	652	tags=76%, list=57%, signal=166%
[BOTTOM, DETAILS]	GO:0048232	male gamete generation	BIOLOGICAL_PROCESS	49	-0.24694435	-2.0163655	0.0020876827	0.17757024	0.863	689	tags=84%, list=60%, signal=201%
