Tags	GO ID	GO Name	GO Category	Size	ES	NES	Nominal p-val	FDR q-val	FWER p-val	Rank at Max	Leading Edge
[TOP, DETAILS]	GO:0002181	cytoplasmic translation	BIOLOGICAL_PROCESS	109	0.26791865	3.1506805	0.0	0.0	0.0	796	tags=80%, list=55%, signal=164%
[TOP, DETAILS]	GO:0006412	translation	BIOLOGICAL_PROCESS	165	0.21328324	3.096548	0.0	0.0	0.0	796	tags=74%, list=55%, signal=145%
[TOP, DETAILS]	GO:0043043	peptide biosynthetic process	BIOLOGICAL_PROCESS	169	0.19927274	2.8438425	0.0	0.0014507837	0.007	798	tags=73%, list=55%, signal=143%
[BOTTOM, DETAILS]	GO:0007560	imaginal disc morphogenesis	BIOLOGICAL_PROCESS	115	-0.22770476	-2.7476604	0.0	0.013640291	0.01	667	tags=67%, list=46%, signal=114%
[BOTTOM, DETAILS]	GO:0009886	post-embryonic animal morphogenesis	BIOLOGICAL_PROCESS	130	-0.21210457	-2.7204912	0.0	0.010256728	0.015	490	tags=53%, list=34%, signal=73%
[BOTTOM, DETAILS]	GO:0048563	post-embryonic animal organ morphogenesis	BIOLOGICAL_PROCESS	115	-0.22770476	-2.7095182	0.0	0.009078812	0.02	667	tags=67%, list=46%, signal=114%
[BOTTOM, DETAILS]	GO:0008587	imaginal disc-derived wing margin morphogenesis	BIOLOGICAL_PROCESS	17	-0.55111605	-2.7069728	0.0020242915	0.0071714013	0.021	490	tags=88%, list=34%, signal=132%
[BOTTOM, DETAILS]	GO:0048569	post-embryonic animal organ development	BIOLOGICAL_PROCESS	135	-0.2034696	-2.691055	0.0	0.006581081	0.024	667	tags=64%, list=46%, signal=108%
[BOTTOM, DETAILS]	GO:0060562	epithelial tube morphogenesis	BIOLOGICAL_PROCESS	129	-0.20140934	-2.5844018	0.0	0.010043277	0.042	667	tags=64%, list=46%, signal=109%
[BOTTOM, DETAILS]	GO:0048707	instar larval or pupal morphogenesis	BIOLOGICAL_PROCESS	126	-0.20383973	-2.5689824	0.0	0.009410125	0.046	490	tags=52%, list=34%, signal=72%
[BOTTOM, DETAILS]	GO:0009628	response to abiotic stimulus	BIOLOGICAL_PROCESS	99	-0.21671124	-2.47739	0.0	0.015123076	0.083	791	tags=75%, list=55%, signal=153%
[BOTTOM, DETAILS]	GO:0007552	metamorphosis	BIOLOGICAL_PROCESS	131	-0.19102515	-2.4369655	0.0	0.019052783	0.119	490	tags=51%, list=34%, signal=70%
[BOTTOM, DETAILS]	GO:0007472	wing disc morphogenesis	BIOLOGICAL_PROCESS	83	-0.22781236	-2.400755	0.0	0.02205993	0.15	667	tags=67%, list=46%, signal=118%
[BOTTOM, DETAILS]	GO:0023056	positive regulation of signaling	BIOLOGICAL_PROCESS	106	-0.19991283	-2.3774269	0.0	0.023661736	0.176	566	tags=58%, list=39%, signal=88%
[BOTTOM, DETAILS]	GO:0007476	imaginal disc-derived wing morphogenesis	BIOLOGICAL_PROCESS	82	-0.22344036	-2.361737	0.0	0.023855453	0.192	667	tags=67%, list=46%, signal=117%
[TOP, DETAILS]	GO:0042255	ribosome assembly	BIOLOGICAL_PROCESS	19	0.44543478	2.3501012	0.0019455253	0.035320032	0.2	277	tags=63%, list=19%, signal=77%
[BOTTOM, DETAILS]	GO:0010647	positive regulation of cell communication	BIOLOGICAL_PROCESS	106	-0.19991283	-2.2828872	0.0019193857	0.038581774	0.306	566	tags=58%, list=39%, signal=88%
[BOTTOM, DETAILS]	GO:0035107	appendage morphogenesis	BIOLOGICAL_PROCESS	92	-0.2081249	-2.2775226	0.0	0.037003797	0.314	490	tags=53%, list=34%, signal=75%
[BOTTOM, DETAILS]	GO:0009967	positive regulation of signal transduction	BIOLOGICAL_PROCESS	100	-0.19712166	-2.2309303	0.0	0.048125967	0.407	662	tags=64%, list=46%, signal=110%
[BOTTOM, DETAILS]	GO:0007548	sex differentiation	BIOLOGICAL_PROCESS	31	-0.33423635	-2.2277849	0.0	0.04623032	0.413	555	tags=71%, list=38%, signal=113%
[BOTTOM, DETAILS]	GO:0035120	post-embryonic appendage morphogenesis	BIOLOGICAL_PROCESS	89	-0.2042976	-2.1920083	0.006	0.057014596	0.508	667	tags=65%, list=46%, signal=113%
[BOTTOM, DETAILS]	GO:0010927	cellular component assembly involved in morphogenesis	BIOLOGICAL_PROCESS	35	-0.31044382	-2.189305	0.0019723866	0.054678604	0.514	638	tags=74%, list=44%, signal=130%
[BOTTOM, DETAILS]	GO:0040003	chitin-based cuticle development	BIOLOGICAL_PROCESS	15	-0.46713185	-2.1756685	0.0	0.055758994	0.538	490	tags=80%, list=34%, signal=120%
[BOTTOM, DETAILS]	GO:0035114	imaginal disc-derived appendage morphogenesis	BIOLOGICAL_PROCESS	91	-0.20249096	-2.1680152	0.0019157088	0.0561185	0.562	490	tags=53%, list=34%, signal=75%
[BOTTOM, DETAILS]	GO:0120039	plasma membrane bounded cell projection morphogenesis	BIOLOGICAL_PROCESS	141	-0.1624857	-2.1660087	0.0	0.054091185	0.567	641	tags=59%, list=44%, signal=95%
[BOTTOM, DETAILS]	GO:0048812	neuron projection morphogenesis	BIOLOGICAL_PROCESS	141	-0.1624857	-2.1621227	0.0020325202	0.05263611	0.572	641	tags=59%, list=44%, signal=95%
[BOTTOM, DETAILS]	GO:0048667	cell morphogenesis involved in neuron differentiation	BIOLOGICAL_PROCESS	141	-0.1624857	-2.1482553	0.0019417476	0.054808334	0.601	641	tags=59%, list=44%, signal=95%
[BOTTOM, DETAILS]	GO:0048858	cell projection morphogenesis	BIOLOGICAL_PROCESS	142	-0.15801395	-2.1397576	0.0037664783	0.055435173	0.617	641	tags=58%, list=44%, signal=95%
[BOTTOM, DETAILS]	GO:0045944	positive regulation of transcription by RNA polymerase II	BIOLOGICAL_PROCESS	76	-0.20949058	-2.0916884	0.004016064	0.07262956	0.74	590	tags=61%, list=41%, signal=97%
[BOTTOM, DETAILS]	GO:0007409	axonogenesis	BIOLOGICAL_PROCESS	113	-0.1733055	-2.0736403	0.002008032	0.07790757	0.779	641	tags=60%, list=44%, signal=100%
[BOTTOM, DETAILS]	GO:0032990	cell part morphogenesis	BIOLOGICAL_PROCESS	144	-0.15695295	-2.0691977	0.0060975607	0.07694224	0.786	641	tags=58%, list=44%, signal=94%
[BOTTOM, DETAILS]	GO:0061564	axon development	BIOLOGICAL_PROCESS	119	-0.16849716	-2.0668528	0.003921569	0.075760044	0.795	641	tags=60%, list=44%, signal=98%
[BOTTOM, DETAILS]	GO:0046843	dorsal appendage formation	BIOLOGICAL_PROCESS	24	-0.3576779	-2.059803	0.002016129	0.076910704	0.81	638	tags=79%, list=44%, signal=139%
[BOTTOM, DETAILS]	GO:0048736	appendage development	BIOLOGICAL_PROCESS	96	-0.18497287	-2.0466366	0.003690037	0.080299474	0.834	490	tags=51%, list=34%, signal=72%
