Tags	GO ID	GO Name	GO Category	Size	ES	NES	Nominal p-val	FDR q-val	FWER p-val	Rank at Max	Leading Edge
[TOP, DETAILS]	GO:0030010	establishment of cell polarity	BIOLOGICAL_PROCESS	44	0.35155377	2.7282672	0.0	0.026214449	0.019	2050	tags=77%, list=42%, signal=133%
[TOP, DETAILS]	GO:0007416	synapse assembly	BIOLOGICAL_PROCESS	144	0.18516742	2.5269005	0.0	0.07444297	0.104	1413	tags=47%, list=29%, signal=65%
[TOP, DETAILS]	GO:0007017	microtubule-based process	BIOLOGICAL_PROCESS	229	0.13963081	2.4431605	0.0	0.09341821	0.189	939	tags=33%, list=19%, signal=39%
[TOP, DETAILS]	GO:0008298	intracellular mRNA localization	BIOLOGICAL_PROCESS	55	0.28036073	2.439744	0.0	0.07183167	0.194	1032	tags=49%, list=21%, signal=62%
[TOP, DETAILS]	GO:0050808	synapse organization	BIOLOGICAL_PROCESS	240	0.13057916	2.3416	0.0	0.13034081	0.382	1413	tags=42%, list=29%, signal=56%
[TOP, DETAILS]	GO:0000226	microtubule cytoskeleton organization	BIOLOGICAL_PROCESS	180	0.14987105	2.3283596	0.0	0.11920967	0.407	1208	tags=39%, list=25%, signal=51%
[TOP, DETAILS]	GO:0070588	calcium ion transmembrane transport	BIOLOGICAL_PROCESS	35	0.3291431	2.3264074	0.0	0.10335686	0.41	2010	tags=74%, list=42%, signal=126%
[TOP, DETAILS]	GO:0007611	learning or memory	BIOLOGICAL_PROCESS	116	0.1850387	2.3145182	0.0	0.097991586	0.435	1626	tags=52%, list=34%, signal=76%
[TOP, DETAILS]	GO:0050890	cognition	BIOLOGICAL_PROCESS	116	0.1850387	2.3119895	0.0	0.088649325	0.44	1626	tags=52%, list=34%, signal=76%
[TOP, DETAILS]	GO:0007308	oocyte construction	BIOLOGICAL_PROCESS	84	0.21443613	2.2960932	0.0020703934	0.088296525	0.475	1167	tags=45%, list=24%, signal=59%
[TOP, DETAILS]	GO:0007528	neuromuscular junction development	BIOLOGICAL_PROCESS	146	0.1650543	2.2786906	0.004032258	0.09043583	0.52	2966	tags=77%, list=61%, signal=194%
[TOP, DETAILS]	GO:0060341	regulation of cellular localization	BIOLOGICAL_PROCESS	125	0.17420565	2.2732592	0.0020661156	0.086009964	0.532	1692	tags=52%, list=35%, signal=78%
[TOP, DETAILS]	GO:0009994	oocyte differentiation	BIOLOGICAL_PROCESS	99	0.19670084	2.267986	0.0	0.082468934	0.542	1167	tags=43%, list=24%, signal=56%
[TOP, DETAILS]	GO:0007309	oocyte axis specification	BIOLOGICAL_PROCESS	81	0.21541807	2.255488	0.0	0.08335957	0.575	825	tags=38%, list=17%, signal=45%
[TOP, DETAILS]	GO:0051124	synaptic growth at neuromuscular junction	BIOLOGICAL_PROCESS	118	0.17999354	2.2541087	0.0	0.07853965	0.576	1403	tags=47%, list=29%, signal=64%
[TOP, DETAILS]	GO:0051960	regulation of nervous system development	BIOLOGICAL_PROCESS	263	0.12486957	2.2379608	0.0	0.082813755	0.619	1413	tags=41%, list=29%, signal=55%
[TOP, DETAILS]	GO:0009798	axis specification	BIOLOGICAL_PROCESS	110	0.18129654	2.220821	0.0	0.08650685	0.659	1032	tags=39%, list=21%, signal=49%
[TOP, DETAILS]	GO:0034329	cell junction assembly	BIOLOGICAL_PROCESS	174	0.14843722	2.202113	0.0	0.09370067	0.707	724	tags=29%, list=15%, signal=33%
[TOP, DETAILS]	GO:0007163	establishment or maintenance of cell polarity	BIOLOGICAL_PROCESS	156	0.15276887	2.1853778	0.0020120724	0.09841127	0.742	1701	tags=50%, list=35%, signal=75%
[TOP, DETAILS]	GO:0016325	oocyte microtubule cytoskeleton organization	BIOLOGICAL_PROCESS	26	0.3624922	2.1757712	0.001980198	0.09976268	0.767	673	tags=50%, list=14%, signal=58%
[TOP, DETAILS]	GO:0048599	oocyte development	BIOLOGICAL_PROCESS	91	0.19540836	2.1571836	0.0020491802	0.108022004	0.808	825	tags=36%, list=17%, signal=43%
